region,system,network,isIO,instanceId,vCpu,memory,intranetGbps,intranetPPS,hourlyPrice,weeklyPrice,standard,monthlyPrice,yearlyPrice,2yearPrice,3yearPrice,4yearPrice,5yearPrice
cn-huhehaote,windows,vpc,TRUE,ecs.t5-c1m4.xlarge,4,16,0.8,20,1.129,90.72,324,307.8,2916,4665.6,5248.8,5598.72,5832
cn-huhehaote,windows,vpc,TRUE,ecs.r5.xlarge,4,32,1.5,30,2.039,164.64,588,558.6,5292,8467.2,9525.6,10160.64,10584
cn-huhehaote,windows,vpc,TRUE,ecs.ic5.2xlarge,8,8,2.5,80,2.129,171.36,612,612,6242.4,10281.6,12117.6,13219.2,13953.6
cn-huhehaote,windows,vpc,TRUE,ecs.t5-c1m1.2xlarge,8,8,1.2,40,1.039,84,300,285,2700,4320,4860,5184,5400
cn-huhehaote,windows,vpc,TRUE,ecs.t5-c1m2.2xlarge,8,16,1.2,40,1.459,117.6,420,399,3780,6048,6804,7257.6,7560
cn-huhehaote,windows,vpc,TRUE,ecs.c5.2xlarge,8,16,2.5,50,2.239,180.43,644.4,644.4,6572.88,10825.92,12759.12,13919.04,14305.68
cn-huhehaote,windows,vpc,TRUE,ecs.g5.2xlarge,8,32,2.5,50,3.189,257.6,920,874,8280,13248,14904,15897.6,16560
cn-huhehaote,windows,vpc,TRUE,ecs.t5-c1m4.2xlarge,8,32,1.2,40,2.249,181.44,648,615.6,5832,9331.2,10497.6,11197.44,11664
cn-huhehaote,windows,vpc,TRUE,ecs.r5.2xlarge,8,64,2.5,50,4.079,329.28,1176,1117.2,10584,16934.4,19051.2,20321.28,21168
cn-huhehaote,windows,vpc,TRUE,ecs.ic5.3xlarge,12,12,4,90,3.189,257.04,918,918,9363.6,15422.4,18176.4,19828.8,20930.4
cn-huhehaote,windows,vpc,TRUE,ecs.c5.3xlarge,12,24,4,90,3.359,270.65,966.6,966.6,9859.32,16238.88,19138.68,20878.56,21458.52
cn-huhehaote,windows,vpc,TRUE,ecs.g5.3xlarge,12,48,4,90,4.789,386.4,1380,1311,12420,19872,22356,23846.4,24840
cn-huhehaote,windows,vpc,TRUE,ecs.r5.3xlarge,12,96,4,90,6.129,493.92,1764,1675.8,15876,25401.6,28576.8,30481.92,31752
cn-huhehaote,windows,vpc,TRUE,ecs.t5-c1m1.4xlarge,16,16,1.2,60,2.079,168,600,570,5400,8640,9720,10368,10800
cn-huhehaote,windows,vpc,TRUE,ecs.ic5.4xlarge,16,16,5,100,4.249,342.72,1224,1224,12484.8,20563.2,24235.2,26438.4,27907.2
cn-huhehaote,windows,vpc,TRUE,ecs.t5-c1m2.4xlarge,16,32,1.2,60,2.919,235.2,840,798,7560,12096,13608,14515.2,15120
cn-huhehaote,windows,vpc,TRUE,ecs.c5.4xlarge,16,32,5,100,4.479,360.86,1288.8,1288.8,13145.76,21651.84,25518.24,27838.08,28611.36
cn-huhehaote,windows,vpc,TRUE,ecs.g5.4xlarge,16,64,5,100,6.389,515.2,1840,1748,16560,26496,29808,31795.2,33120
cn-huhehaote,windows,vpc,TRUE,ecs.r5.4xlarge,16,128,5,100,8.169,658.56,2352,2234.4,21168,33868.8,38102.4,40642.56,42336
cn-huhehaote,windows,vpc,TRUE,ecs.c5.6xlarge,24,48,7.5,150,6.709,541.3,1933.2,1933.2,19718.64,32477.76,38277.36,41757.12,42917.04
cn-huhehaote,windows,vpc,TRUE,ecs.g5.6xlarge,24,96,7.5,150,9.579,772.8,2760,2622,24840,39744,44712,47692.8,49680
cn-huhehaote,windows,vpc,TRUE,ecs.r5.6xlarge,24,192,7.5,150,12.249,987.84,3528,3351.6,31752,50803.2,57153.6,60963.84,63504
cn-huhehaote,windows,vpc,TRUE,ecs.c5.8xlarge,32,64,10,200,8.949,721.73,2577.6,2577.6,26291.52,43303.68,51036.48,55676.16,57222.72
cn-huhehaote,windows,vpc,TRUE,ecs.g5.8xlarge,32,128,10,200,12.779,1030.4,3680,3496,33120,52992,59616,63590.4,66240
cn-huhehaote,windows,vpc,TRUE,ecs.r5.8xlarge,32,256,10,200,16.329,1317.12,4704,4468.8,42336,67737.6,76204.8,81285.12,84672
cn-huhehaote,windows,vpc,TRUE,ecs.c5.16xlarge,64,128,20,400,17.899,1443.46,5155.2,5155.2,52583.04,86607.36,102072.96,111352.32,114445.44
cn-huhehaote,windows,vpc,TRUE,ecs.g5.16xlarge,64,256,20,400,25.559,2060.8,7360,6992,66240,105984,119232,127180.8,132480
cn-huhehaote,windows,vpc,TRUE,ecs.r5.16xlarge,64,512,20,400,32.669,2634.24,9408,8937.6,84672,135475.2,152409.6,162570.24,169344
cn-qingdao,windows,vpc,TRUE,ecs.t5-lc2m1.nano,1,0.5,0.1,4,0.063,5.04,18,17.1,162,259.2,291.6,311.04,324
cn-qingdao,windows,vpc,TRUE,ecs.t5-lc1m1.small,1,1,0.2,6,0.083,6.72,24,22.8,216,345.6,388.8,414.72,432
cn-qingdao,windows,vpc,TRUE,ecs.t5-lc1m2.small,1,2,0.2,6,0.167,13.44,48,45.6,432,691.2,777.6,829.44,864
cn-qingdao,windows,vpc,TRUE,ecs.t5-c1m1.large,2,2,0.5,10,0.29,23.24,83,78.85,747,1195.2,1344.6,1434.24,1494
cn-qingdao,windows,vpc,TRUE,ecs.ic5.large,2,2,1,30,0.59,47.6,170,170,1734,2856,3366,3672,3876
cn-qingdao,windows,vpc,TRUE,ecs.t5-c1m2.large,2,4,0.5,10,0.4,32.48,116,110.2,1044,1670.4,1879.2,2004.48,2088
cn-qingdao,windows,vpc,TRUE,ecs.c5.large,2,4,1,20,0.62,50.12,179,179,1825.8,3007.2,3544.2,3866.4,3973.8
cn-qingdao,windows,vpc,TRUE,ecs.hfc5.large,2,4,1,30,0.87,70.28,251,251,2499.96,3975.84,4518,4819.2,4969.8
cn-qingdao,windows,vpc,TRUE,ecs.t5-lc1m2.large,2,4,0.4,10,0.333,26.88,96,91.2,864,1382.4,1555.2,1658.88,1728
cn-qingdao,windows,vpc,TRUE,ecs.hfg5.large,2,8,1,30,1.15,92.96,332,332,3227.04,5179.2,5856.48,6215.04,6374.4
cn-qingdao,windows,vpc,TRUE,ecs.g5.large,2,8,1,20,0.89,71.4,255,242.25,2295,3672,4131,4406.4,4590
cn-qingdao,windows,vpc,TRUE,ecs.t5-c1m4.large,2,8,0.5,10,0.63,50.4,180,171,1620,2592,2916,3110.4,3240
cn-qingdao,windows,vpc,TRUE,ecs.t5-lc1m4.large,2,8,0.4,10,0.55,44.52,159,151.05,1431,2289.6,2575.8,2747.52,2862
cn-qingdao,windows,vpc,TRUE,ecs.r5.large,2,16,1,20,1.13,91.28,326,309.7,2934,4694.4,5281.2,5633.28,5868
cn-qingdao,windows,vpc,TRUE,ecs.ic5.xlarge,4,4,1.5,50,1.18,95.2,340,340,3468,5712,6732,7344,7752
cn-qingdao,windows,vpc,TRUE,ecs.t5-c1m1.xlarge,4,4,0.8,20,0.58,46.76,167,158.65,1503,2404.8,2705.4,2885.76,3006
cn-qingdao,windows,vpc,TRUE,ecs.c5.xlarge,4,8,1.5,30,1.24,100.24,358,358,3651.6,6014.4,7088.4,7732.8,7947.6
cn-qingdao,windows,vpc,TRUE,ecs.t5-c1m2.xlarge,4,8,0.8,20,0.8,64.68,231,219.45,2079,3326.4,3742.2,3991.68,4158
cn-qingdao,windows,vpc,TRUE,ecs.hfc5.xlarge,4,8,1.5,50,1.74,140.56,502,502,4999.92,7951.68,9036,9638.4,9939.6
cn-qingdao,windows,vpc,TRUE,ecs.hfg5.xlarge,4,16,1.5,50,2.31,185.92,664,664,6454.08,10358.4,11712.96,12430.08,12748.8
cn-qingdao,windows,vpc,TRUE,ecs.g5.xlarge,4,16,1.5,30,1.77,142.8,510,484.5,4590,7344,8262,8812.8,9180
cn-qingdao,windows,vpc,TRUE,ecs.t5-c1m4.xlarge,4,16,0.8,20,1.25,100.8,360,342,3240,5184,5832,6220.8,6480
cn-qingdao,windows,vpc,TRUE,ecs.r5.xlarge,4,32,1.5,30,2.26,182.56,652,619.4,5868,9388.8,10562.4,11266.56,11736
cn-qingdao,windows,vpc,TRUE,ecs.i2.xlarge,4,32,1,50,3.49,281.12,1004,953.8,9036,14457.6,16264.8,17349.12,18072
cn-qingdao,windows,vpc,TRUE,ecs.ic5.2xlarge,8,8,2.5,80,2.36,190.4,680,680,6936,11424,13464,14688,15504
cn-qingdao,windows,vpc,TRUE,ecs.t5-c1m1.2xlarge,8,8,1.2,40,1.16,93.24,333,316.35,2997,4795.2,5394.6,5754.24,5994
cn-qingdao,windows,vpc,TRUE,ecs.t5-c1m2.2xlarge,8,16,1.2,40,1.6,129.36,462,438.9,4158,6652.8,7484.4,7983.36,8316
cn-qingdao,windows,vpc,TRUE,ecs.c5.2xlarge,8,16,2.5,50,2.49,200.48,716,716,7303.2,12028.8,14176.8,15465.6,15895.2
cn-qingdao,windows,vpc,TRUE,ecs.hfc5.2xlarge,8,16,2,100,3.49,281.12,1004,1004,9999.84,15903.36,18072,19276.8,19879.2
cn-qingdao,windows,vpc,TRUE,ecs.hfg5.2xlarge,8,32,2,100,4.61,371.84,1328,1328,12908.16,20716.8,23425.92,24860.16,25497.6
cn-qingdao,windows,vpc,TRUE,ecs.g5.2xlarge,8,32,2.5,50,3.54,285.6,1020,969,9180,14688,16524,17625.6,18360
cn-qingdao,windows,vpc,TRUE,ecs.t5-c1m4.2xlarge,8,32,1.2,40,2.5,201.6,720,684,6480,10368,11664,12441.6,12960
cn-qingdao,windows,vpc,TRUE,ecs.i2g.2xlarge,unknown,unknown,unknown,unknown,5.12,413,1475,1475,15045,24780,29205,31860,33630
cn-qingdao,windows,vpc,TRUE,ecs.i2.2xlarge,8,64,2,100,6.97,562.24,2008,1907.6,18072,28915.2,32529.6,34698.24,36144
cn-qingdao,windows,vpc,TRUE,ecs.r5.2xlarge,8,64,2.5,50,4.53,365.12,1304,1238.8,11736,18777.6,21124.8,22533.12,23472
cn-qingdao,windows,vpc,TRUE,ecs.ic5.3xlarge,12,12,4,90,3.54,285.6,1020,1020,10404,17136,20196,22032,23256
cn-qingdao,windows,vpc,TRUE,ecs.c5.3xlarge,12,24,4,90,3.73,300.72,1074,1074,10954.8,18043.2,21265.2,23198.4,23842.8
cn-qingdao,windows,vpc,TRUE,ecs.hfc5.3xlarge,12,24,2.5,130,5.23,421.68,1506,1506,14999.76,23855.04,27108,28915.2,29818.8
cn-qingdao,windows,vpc,TRUE,ecs.hfg5.3xlarge,12,48,2.5,130,6.92,557.76,1992,1992,19362.24,31075.2,35138.88,37290.24,38246.4
cn-qingdao,windows,vpc,TRUE,ecs.g5.3xlarge,12,48,4,90,5.31,428.4,1530,1453.5,13770,22032,24786,26438.4,27540
cn-qingdao,windows,vpc,TRUE,ecs.r5.3xlarge,12,96,4,90,6.79,547.68,1956,1858.2,17604,28166.4,31687.2,33799.68,35208
cn-qingdao,windows,vpc,TRUE,ecs.t5-c1m1.4xlarge,16,16,1.2,60,2.31,186.48,666,632.7,5994,9590.4,10789.2,11508.48,11988
cn-qingdao,windows,vpc,TRUE,ecs.ic5.4xlarge,16,16,5,100,4.72,380.8,1360,1360,13872,22848,26928,29376,31008
cn-qingdao,windows,vpc,TRUE,ecs.t5-c1m2.4xlarge,16,32,1.2,60,3.21,258.72,924,877.8,8316,13305.6,14968.8,15966.72,16632
cn-qingdao,windows,vpc,TRUE,ecs.c5.4xlarge,16,32,5,100,4.97,400.96,1432,1432,14606.4,24057.6,28353.6,30931.2,31790.4
cn-qingdao,windows,vpc,TRUE,ecs.hfc5.4xlarge,16,32,3,160,6.97,562.24,2008,2008,19999.68,31806.72,36144,38553.6,39758.4
cn-qingdao,windows,vpc,TRUE,ecs.g5.4xlarge,16,64,5,100,7.08,571.2,2040,1938,18360,29376,33048,35251.2,36720
cn-qingdao,windows,vpc,TRUE,ecs.hfg5.4xlarge,16,64,3,160,9.22,743.68,2656,2656,25816.32,41433.6,46851.84,49720.32,50995.2
cn-qingdao,windows,vpc,TRUE,ecs.i2g.4xlarge,unknown,unknown,unknown,unknown,10.24,826,2950,2950,30090,49560,58410,63720,67260
cn-qingdao,windows,vpc,TRUE,ecs.i2.4xlarge,16,128,3,150,13.94,1124.48,4016,3815.2,36144,57830.4,65059.2,69396.48,72288
cn-qingdao,windows,vpc,TRUE,ecs.r5.4xlarge,16,128,5,100,9.06,730.24,2608,2477.6,23472,37555.2,42249.6,45066.24,46944
cn-qingdao,windows,vpc,TRUE,ecs.c5.6xlarge,24,48,7.5,150,7.46,601.44,2148,2148,21909.6,36086.4,42530.4,46396.8,47685.6
cn-qingdao,windows,vpc,TRUE,ecs.hfc5.6xlarge,24,48,4.5,200,10.46,843.36,3012,3012,29999.52,47710.08,54216,57830.4,59637.6
cn-qingdao,windows,vpc,TRUE,ecs.hfg5.6xlarge,24,96,4.5,200,13.83,1115.52,3984,3984,38724.48,62150.4,70277.76,74580.48,76492.8
cn-qingdao,windows,vpc,TRUE,ecs.g5.6xlarge,24,96,7.5,150,10.63,856.8,3060,2907,27540,44064,49572,52876.8,55080
cn-qingdao,windows,vpc,TRUE,ecs.r5.6xlarge,24,192,7.5,150,13.58,1095.36,3912,3716.4,35208,56332.8,63374.4,67599.36,70416
cn-qingdao,windows,vpc,TRUE,ecs.c5.8xlarge,32,64,10,200,9.94,801.92,2864,2864,29212.8,48115.2,56707.2,61862.4,63580.8
cn-qingdao,windows,vpc,TRUE,ecs.hfc5.8xlarge,32,64,6,250,13.94,1124.48,4016,4016,39999.36,63613.44,72288,77107.2,79516.8
cn-qingdao,windows,vpc,TRUE,ecs.hfg5.8xlarge,32,128,6,250,18.44,1487.36,5312,5312,51632.64,82867.2,93703.68,99440.64,101990.4
cn-qingdao,windows,vpc,TRUE,ecs.g5.8xlarge,32,128,10,200,14.17,1142.4,4080,3876,36720,58752,66096,70502.4,73440
cn-qingdao,windows,vpc,TRUE,ecs.i2g.8xlarge,unknown,unknown,unknown,unknown,20.49,1652,5900,5900,60180,99120,116820,127440,134520
cn-qingdao,windows,vpc,TRUE,ecs.r5.8xlarge,32,256,10,200,18.11,1460.48,5216,4955.2,46944,75110.4,84499.2,90132.48,93888
cn-qingdao,windows,vpc,TRUE,ecs.i2.8xlarge,32,256,6,200,27.89,2248.96,8032,7630.4,72288,115660.8,130118.4,138792.96,144576
cn-qingdao,windows,vpc,TRUE,ecs.hfg5.14xlarge,56,160,10,400,30.58,2466.24,8808,8808,85613.76,137404.8,155373.12,164885.76,169113.6
cn-qingdao,windows,vpc,TRUE,ecs.c5.16xlarge,64,128,20,400,19.89,1603.84,5728,5728,58425.6,96230.4,113414.4,123724.8,127161.6
cn-qingdao,windows,vpc,TRUE,ecs.scch5.16xlarge,64,192,10,4500,42.36,3416,12200,11590,109800,175680,197640,210816,219600
cn-qingdao,windows,vpc,TRUE,ecs.i2g.16xlarge,unknown,unknown,unknown,unknown,40.97,3304,11800,11800,120360,198240,233640,254880,269040
cn-qingdao,windows,vpc,TRUE,ecs.g5.16xlarge,64,256,20,400,28.33,2284.8,8160,7752,73440,117504,132192,141004.8,146880
cn-qingdao,windows,vpc,TRUE,ecs.r5.16xlarge,64,512,20,400,36.22,2920.96,10432,9910.4,93888,150220.8,168998.4,180264.96,187776
cn-qingdao,windows,vpc,TRUE,ecs.i2.16xlarge,64,512,10,400,55.78,4497.92,16064,15260.8,144576,231321.6,260236.8,277585.92,289152
cn-qingdao,windows,vpc,TRUE,ecs.sccg5.24xlarge,96,384,10,4500,44.63,3598.56,12852,12209.4,115668,185068.8,208202.4,222082.56,231336
cn-qingdao,windows,vpc,TRUE,ecs.xn4.small,1,1,低,低,0.16,12.6,45,45,459,756,810,1080,1350
cn-qingdao,windows,vpc,TRUE,ecs.n4.small,1,2,低,低,0.29,23.52,84,84,856.8,1411.2,1512,2016,2520
cn-qingdao,windows,vpc,TRUE,ecs.mn4.small,1,4,低,低,0.54,43.4,155,155,1581,2604,2790,3720,4650
cn-qingdao,windows,vpc,TRUE,ecs.e4.small,unknown,unknown,unknown,unknown,0.9,72.8,260,260,2652,4368,4680,6240,7800
cn-qingdao,windows,vpc,TRUE,ecs.sn1ne.large,2,4,0.5,12,0.68,55.16,197,197,2009.4,3309.6,3900.6,4255.2,4491.6
cn-qingdao,windows,vpc,TRUE,ecs.n4.large,2,4,低,低,0.71,57.12,204,204,2080.8,3427.2,3672,4896,6120
cn-qingdao,windows,vpc,TRUE,ecs.sn2ne.large,2,8,0.5,12,0.99,80.08,286,271.7,2574,4118.4,4633.2,4942.08,5148
cn-qingdao,windows,vpc,TRUE,ecs.mn4.large,2,8,低,低,1.08,86.8,310,310,3162,5208,5580,7440,9300
cn-qingdao,windows,vpc,TRUE,ecs.se1.large,2,16,0.5,5,1.53,102.48,366,366,3733.2,6148.8,6588,8784,10980
cn-qingdao,windows,vpc,TRUE,ecs.se1ne.large,2,16,0.5,12,1.27,102.48,366,347.7,3294,5270.4,5929.2,6324.48,6588
cn-qingdao,windows,vpc,TRUE,ecs.e4.large,unknown,unknown,unknown,unknown,1.81,145.6,520,520,5304,8736,9360,12480,15600
cn-qingdao,windows,vpc,TRUE,ecs.sn1ne.xlarge,4,8,0.8,30,1.37,110.32,394,394,4018.8,6619.2,7801.2,8510.4,8983.2
cn-qingdao,windows,vpc,TRUE,ecs.n4.xlarge,4,8,低,低,1.42,114.24,408,408,4161.6,6854.4,7344,9792,12240
cn-qingdao,windows,vpc,TRUE,ecs.gn5i-c4g1.xlarge,4,16,1.5,20,9.69,781.2,2790,2650.5,25110,40176,45198,48211.2,50220
cn-qingdao,windows,vpc,TRUE,ecs.sn2ne.xlarge,4,16,0.8,30,1.99,160.16,572,543.4,5148,8236.8,9266.4,9884.16,10296
cn-qingdao,windows,vpc,TRUE,ecs.mn4.xlarge,4,16,低,低,2.15,173.6,620,620,6324,10416,11160,14880,18600
cn-qingdao,windows,vpc,TRUE,ecs.se1.xlarge,4,32,0.8,10,3.07,204.96,732,732,7466.4,12297.6,13176,17568,21960
cn-qingdao,windows,vpc,TRUE,ecs.se1ne.xlarge,4,32,0.8,30,2.54,204.96,732,695.4,6588,10540.8,11858.4,12648.96,13176
cn-qingdao,windows,vpc,TRUE,ecs.e4.xlarge,unknown,unknown,unknown,unknown,3.61,291.2,1040,1040,10608,17472,18720,24960,31200
cn-qingdao,windows,vpc,TRUE,ecs.sn1ne.2xlarge,8,16,1.5,100,2.74,220.64,788,788,8037.6,13238.4,15602.4,17020.8,17966.4
cn-qingdao,windows,vpc,TRUE,ecs.n4.2xlarge,8,16,低,低,2.83,228.48,816,816,8323.2,13708.8,14688,19584,24480
cn-qingdao,windows,vpc,TRUE,ecs.d1ne.2xlarge,8,32,6,80,6.68,539,1925,1828.75,17325,27720,31185,33264,34650
cn-qingdao,windows,vpc,TRUE,ecs.sn2ne.2xlarge,8,32,1.5,100,3.97,320.32,1144,1086.8,10296,16473.6,18532.8,19768.32,20592
cn-qingdao,windows,vpc,TRUE,ecs.gn5i-c8g1.2xlarge,8,32,2,40,11.67,940.8,3360,3192,30240,48384,54432,58060.8,60480
cn-qingdao,windows,vpc,TRUE,ecs.mn4.2xlarge,8,32,低,低,4.3,347.2,1240,1240,12648,20832,22320,29760,37200
cn-qingdao,windows,vpc,TRUE,ecs.se1ne.2xlarge,8,64,1.5,100,5.08,409.92,1464,1390.8,13176,21081.6,23716.8,25297.92,26352
cn-qingdao,windows,vpc,TRUE,ecs.se1.2xlarge,8,64,1.5,20,6.14,409.92,1464,1464,14932.8,24595.2,26352,35136,43920
cn-qingdao,windows,vpc,TRUE,ecs.e4.2xlarge,unknown,unknown,unknown,unknown,7.22,582.4,2080,2080,21216,34944,37440,49920,62400
cn-qingdao,windows,vpc,TRUE,ecs.sn1ne.3xlarge,12,24,2.5,130,4.1,330.96,1182,1182,12056.4,19857.6,23403.6,25531.2,26949.6
cn-qingdao,windows,vpc,TRUE,ecs.sn2ne.3xlarge,12,48,2.5,130,5.96,480.48,1716,1630.2,15444,24710.4,27799.2,29652.48,30888
cn-qingdao,windows,vpc,TRUE,ecs.se1ne.3xlarge,12,96,2.5,130,7.63,614.88,2196,2086.2,19764,31622.4,35575.2,37946.88,39528
cn-qingdao,windows,vpc,TRUE,ecs.sn1ne.4xlarge,16,32,3,160,5.47,441.28,1576,1576,16075.2,26476.8,31204.8,34041.6,35932.8
cn-qingdao,windows,vpc,TRUE,ecs.n4.4xlarge,16,32,低,低,5.67,456.96,1632,1632,16646.4,27417.6,29376,39168,48960
cn-qingdao,windows,vpc,TRUE,ecs.gn5i-c16g1.4xlarge,16,64,3,80,15.63,1260,4500,4275,40500,64800,72900,77760,81000
cn-qingdao,windows,vpc,TRUE,ecs.d1ne.4xlarge,16,64,12,160,13.37,1078,3850,3657.5,34650,55440,62370,66528,69300
cn-qingdao,windows,vpc,TRUE,ecs.mn4.4xlarge,16,64,低,低,8.61,694.4,2480,2480,25296,41664,44640,59520,74400
cn-qingdao,windows,vpc,TRUE,ecs.sn2ne.4xlarge,16,64,3,160,7.94,640.64,2288,2173.6,20592,32947.2,37065.6,39536.64,41184
cn-qingdao,windows,vpc,TRUE,ecs.se1ne.4xlarge,16,128,3,160,10.17,819.84,2928,2781.6,26352,42163.2,47433.6,50595.84,52704
cn-qingdao,windows,vpc,TRUE,ecs.e4.4xlarge,unknown,unknown,unknown,unknown,14.44,1164.8,4160,4160,42432,69888,74880,99840,124800
cn-qingdao,windows,vpc,TRUE,ecs.se1.4xlarge,16,128,3,40,12.28,819.84,2928,2928,29865.6,49190.4,52704,70272,87840
cn-qingdao,windows,vpc,TRUE,ecs.sn1ne.6xlarge,24,48,4.5,200,8.21,661.92,2364,2364,24112.8,39715.2,46807.2,51062.4,53899.2
cn-qingdao,windows,vpc,TRUE,ecs.sn2ne.6xlarge,24,96,4.5,200,11.92,960.96,3432,3260.4,30888,49420.8,55598.4,59304.96,61776
cn-qingdao,windows,vpc,TRUE,ecs.d1ne.6xlarge,24,96,16,200,20.05,1617,5775,5486.25,51975,83160,93555,99792,103950
cn-qingdao,windows,vpc,TRUE,ecs.se1ne.6xlarge,24,192,4.5,200,15.25,1229.76,4392,4172.4,39528,63244.8,71150.4,75893.76,79056
